player,batting_runs,batting_balls,dismissals,batting_strike_rate,batting_average,matches_played,Death,Middle,Powerplay,boundary_pct,dot_ball_pct,dismissal_rate,avg_pp_balls_per_match,avg_middle_balls_per_match,avg_death_balls_per_match,runs_conceded,bowling_balls,wickets,overs,economy
LR Shukla,405,358,29,113.12849162011172,13.96551724137931,33,128.0701754385965,101.0989010989011,40.0,56.2962962962963,42.45810055865922,12.344827586206897,0.1515151515151515,5.515151515151516,5.181818181818182,438,314,15,52.333333333333336,8.369426751592357
LS Livingstone,1051,699,40,150.3576537911302,26.275,47,204.7619047619048,131.70731707317074,138.01652892561984,69.45765937202664,37.76824034334764,17.475,2.574468085106383,8.72340425531915,3.574468085106383,462,312,13,52.0,8.884615384615385
Lalit Yadav,305,301,15,101.32890365448506,20.33333333333333,21,110.58823529411764,101.08695652173914,78.125,49.18032786885246,42.85714285714285,20.066666666666663,1.5238095238095235,8.761904761904763,4.047619047619048,418,288,10,48.0,8.708333333333334
MC Henriques,1000,801,38,124.84394506866415,26.31578947368421,54,164.2156862745098,111.25827814569536,111.80555555555556,51.6,35.45568039950062,21.07894736842105,2.6666666666666665,8.38888888888889,3.7777777777777777,1268,950,42,158.33333333333334,8.00842105263158
MM Ali,1167,865,51,134.91329479768785,22.88235294117647,59,167.06586826347305,131.0,117.67676767676768,67.00942587832049,41.27167630057804,16.96078431372549,3.3559322033898304,8.474576271186441,2.830508474576271,1021,854,41,142.33333333333334,7.173302107728337
MP Stoinis,2026,1457,73,139.0528483184626,27.753424657534246,99,167.3828125,125.6115107913669,118.4,62.58637709772952,36.85655456417296,19.95890410958904,2.525252525252525,7.02020202020202,5.171717171717172,1425,888,44,148.0,9.62837837837838
MR Marsh,1292,933,45,138.4780278670954,28.711111111111112,49,148.57142857142858,129.51945080091534,145.5056179775281,67.02786377708978,40.19292604501607,20.73333333333333,7.26530612244898,8.918367346938776,2.857142857142857,769,560,37,93.33333333333331,8.239285714285714
NLTC Perera,424,326,24,130.06134969325154,17.666666666666668,30,141.2698412698413,115.12605042016806,111.11111111111111,58.490566037735846,39.57055214723926,13.583333333333334,0.6,3.966666666666667,6.3,1010,698,31,116.33333333333331,8.681948424068768
P Kumar,340,323,34,105.26315789473684,10.0,57,109.70149253731344,85.1063829787234,75.0,55.88235294117647,48.91640866873065,9.5,0.1403508771929824,0.8245614035087719,4.701754385964913,3197,2524,90,420.6666666666667,7.5998415213946116
P Negi,365,301,26,121.2624584717608,14.038461538461538,35,134.5549738219895,100.0,66.66666666666666,55.89041095890411,41.19601328903654,11.576923076923077,0.1714285714285714,2.9714285714285715,5.457142857142857,937,716,35,119.33333333333331,7.85195530726257
PJ Cummins,612,417,33,146.76258992805757,18.545454545454547,48,158.80281690140845,121.96969696969695,0.0,65.68627450980392,40.52757793764988,12.636363636363637,0.0208333333333333,2.75,5.916666666666667,2350,1617,79,269.5,8.719851576994435
PP Chawla,624,580,57,107.58620689655172,10.947368421052632,86,117.05426356589147,86.66666666666667,115.38461538461536,55.12820512820513,45.3448275862069,10.175438596491228,0.1511627906976744,2.0930232558139537,4.5,5097,3850,189,641.6666666666666,7.943376623376624
R Ashwin,833,728,63,114.42307692307692,13.22222222222222,93,127.61394101876677,98.93617021276596,106.84931506849315,51.62064825930373,38.46153846153847,11.555555555555555,0.7849462365591398,3.032258064516129,4.010752688172043,5521,4710,184,785.0,7.033121019108281
R Bhatia,342,290,29,117.9310344827586,11.79310344827586,47,141.80790960451978,80.53097345132744,,50.877192982456144,37.93103448275862,10.0,0.0,2.404255319148936,3.765957446808511,2023,1636,71,272.6666666666667,7.419315403422982
R Parag,1570,1156,60,135.81314878892735,26.166666666666668,72,153.021978021978,126.81159420289856,135.29411764705884,61.78343949044586,37.0242214532872,19.266666666666666,1.4166666666666667,9.583333333333334,5.055555555555555,462,295,7,49.16666666666666,9.396610169491526
R Tewatia,1112,851,49,130.66980023501762,22.693877551020407,76,156.60749506903352,92.58160237388724,85.71428571428571,61.51079136690647,39.01292596944771,17.367346938775512,0.0921052631578947,4.434210526315789,6.671052631578948,1093,843,32,140.5,7.779359430604982
R Vinay Kumar,310,289,26,107.26643598615917,11.923076923076923,42,109.62343096234312,96.0,,44.516129032258064,40.830449826989614,11.115384615384617,0.0,1.1904761904761905,5.690476190476191,2953,2127,105,354.5,8.330042313117067
RA Jadeja,3260,2607,123,125.04794783275796,26.504065040650406,194,143.48855564325177,106.86900958466454,118.1818181818182,50.98159509202455,34.330648254698886,21.195121951219512,0.4536082474226804,6.453608247422681,6.530927835051546,5139,4056,169,676.0,7.60207100591716
RG Sharma,7048,5475,246,128.7305936073059,28.65040650406504,266,174.31506849315068,119.42857142857144,120.87132725430598,62.11691259931895,39.34246575342466,22.25609756097561,7.421052631578948,9.86842105263158,3.293233082706767,447,339,15,56.5,7.911504424778761
RS Bopara,531,468,19,113.46153846153844,27.94736842105263,22,168.86792452830187,106.22009569377992,84.9673202614379,47.45762711864407,37.39316239316239,24.63157894736842,6.954545454545454,9.5,4.818181818181818,285,206,11,34.333333333333336,8.300970873786408
Rashid Khan,585,387,42,151.1627906976744,13.928571428571429,66,156.2111801242236,126.15384615384616,,70.08547008547008,42.89405684754522,9.214285714285714,0.0,0.9848484848484848,4.878787878787879,3812,3202,158,533.6666666666666,7.143035602748283
SC Ganguly,1349,1326,54,101.73453996983407,24.98148148148148,56,174.3119266055046,93.0576070901034,97.96296296296296,59.30318754633062,49.92458521870287,24.55555555555556,9.642857142857142,12.089285714285714,1.9464285714285716,365,276,10,46.0,7.934782608695652
SK Raina,5536,4177,168,132.53531242518554,32.95238095238095,200,165.25735294117646,126.99133305819232,128.92561983471074,58.67052023121387,35.336365812784294,24.86309523809524,6.05,12.115,2.72,1117,908,25,151.33333333333334,7.381057268722467
SK Warne,198,219,19,90.41095890410958,10.421052631578949,27,102.23880597014924,71.76470588235294,,46.464646464646464,47.94520547945205,11.526315789473683,0.0,3.1481481481481484,4.962962962962963,1426,1194,56,199.0,7.165829145728643
SM Curran,997,761,41,131.011826544021,24.317073170731707,53,170.78651685393257,109.44444444444446,109.70149253731344,58.77632898696088,37.18791064388962,18.5609756097561,2.5283018867924527,6.79245283018868,5.037735849056604,1995,1253,59,208.83333333333331,9.553072625698324
