bowler,runs_conceded,balls,wickets,overs,economy,death_overs_economy,middle_overs_economy,powerplay_economy,death_overs_balls_bowled,middle_overs_balls_bowled,powerplay_balls_bowled,total_balls_bowled
Kartik Tyagi,669,422,15,70.33333333333333,9.511848341232229,10.278688524590164,8.56,9.84,122,150,150,422
Kuldeep Yadav,2749,2064,101,344.0,7.991279069767442,8.137724550898204,7.9652694610778445,7.9,334,1670,60,2064
L Ablish,73,42,3,7.0,10.428571428571429,5.333333333333333,15.5,13.0,18,12,12,42
L Balaji,1998,1512,76,252.0,7.928571428571429,10.111553784860558,6.857142857142858,6.826666666666667,502,560,450,1512
L Ngidi,511,372,29,62.0,8.241935483870968,9.125,8.0,7.52,144,78,150,372
L Wood,92,36,1,6.0,15.333333333333334,21.5,11.5,13.0,12,12,12,36
LA Carseldine,5,6,1,1.0,5.0,,,5.0,0,0,6,6
LB Williams,64,37,1,6.166666666666667,10.378378378378377,12.0,4.0,11.52,6,6,25,37
LE Plunkett,224,150,4,25.0,8.96,8.75,8.4,10.0,48,60,42,150
LH Ferguson,1480,1026,54,171.0,8.654970760233919,10.236421725239618,7.621621621621622,8.520446096654275,313,444,269,1026
LI Meriwala,27,18,1,3.0,9.0,,4.0,11.5,0,6,12,18
LJ Wright,121,71,2,11.833333333333334,10.225352112676056,11.739130434782608,9.142857142857142,12.0,23,42,6,71
LMP Simmons,34,18,1,3.0,11.333333333333334,12.0,10.0,,12,6,0,18
LPC Silva,21,6,0,1.0,21.0,21.0,,,6,0,0,6
LR Shukla,438,314,15,52.333333333333336,8.369426751592357,8.692307692307692,7.857142857142857,11.53846153846154,78,210,26,314
LRPL Taylor,23,12,0,2.0,11.5,,11.5,,0,12,0,12
LS Livingstone,462,312,13,52.0,8.884615384615385,6.5,9.311111111111112,5.666666666666667,24,270,18,312
Lalit Yadav,418,288,10,48.0,8.708333333333334,9.0,8.178571428571429,9.5625,24,168,96,288
M Ashwin,1150,870,35,145.0,7.931034482758621,8.80952380952381,7.623853211009174,8.933333333333334,126,654,90,870
M Jansen,1097,735,36,122.5,8.955102040816326,10.351648351648352,9.37190082644628,8.388059701492537,91,242,402,735
